iter	Passed	Remaining
0	146	145928
1	147	73472
2	148	49243
3	149	37116
4	150	29867
5	151	25118
6	152	21692
7	154	19136
8	156	17208
9	158	15657
10	159	14342
11	160	13242
12	161	12276
13	163	11485
14	164	10812
15	166	10232
16	167	9703
17	169	9247
18	171	8837
19	172	8448
20	173	8086
21	174	7759
22	175	7451
23	176	7166
24	177	6930
25	179	6719
26	180	6509
27	182	6322
28	183	6154
29	184	5977
30	185	5805
31	187	5665
32	189	5544
33	190	5417
34	191	5289
35	193	5188
36	195	5083
37	197	4993
38	198	4900
39	200	4819
40	202	4739
41	203	4652
42	205	4579
43	207	4507
44	209	4436
45	210	4366
46	212	4309
47	214	4249
48	215	4189
49	217	4129
50	218	4074
51	220	4024
52	222	3971
53	223	3922
54	225	3878
55	227	3828
56	228	3782
57	230	3740
58	231	3698
59	233	3656
60	234	3612
61	236	3575
62	237	3539
63	239	3506
64	240	3464
65	241	3423
66	243	3392
67	245	3361
68	246	3327
69	248	3297
70	249	3268
71	251	3240
72	252	3212
73	254	3185
74	256	3159
75	257	3135
76	259	3108
77	260	3081
78	261	3051
79	262	3023
80	264	3001
81	266	2979
82	267	2950
83	268	2929
84	269	2905
85	271	2884
86	273	2867
87	274	2840
88	275	2817
89	276	2799
90	278	2783
91	280	2767
92	282	2750
93	283	2734
94	285	2719
95	287	2703
96	288	2687
97	290	2672
98	292	2657
99	293	2642
100	295	2628
101	296	2614
102	298	2597
103	300	2584
104	301	2572
105	303	2558
106	304	2543
107	306	2530
108	308	2517
109	309	2506
110	311	2494
111	312	2477
112	313	2460
113	314	2447
114	316	2437
115	318	2425
116	319	2411
117	321	2401
118	322	2389
119	324	2379
120	326	2369
121	326	2352
122	328	2343
123	330	2333
124	332	2324
125	333	2315
126	335	2303
127	336	2294
128	338	2285
129	340	2276
130	341	2263
131	342	2254
132	344	2244
133	345	2235
134	347	2227
135	349	2218
136	350	2210
137	352	2201
138	354	2193
139	355	2182
140	356	2173
141	357	2161
142	359	2153
143	361	2146
144	362	2139
145	364	2131
146	365	2123
147	367	2115
148	369	2108
149	370	2097
150	371	2090
151	373	2082
152	374	2072
153	375	2065
154	377	2057
155	378	2049
156	379	2037
157	381	2031
158	382	2024
159	384	2017
160	385	2007
161	386	2001
162	388	1995
163	390	1990
164	391	1982
165	393	1976
166	394	1969
167	396	1964
168	398	1958
169	399	1951
170	401	1946
171	403	1940
172	404	1935
173	406	1930
174	408	1923
175	409	1918
176	411	1913
177	412	1905
178	414	1899
179	415	1894
180	417	1887
181	418	1880
182	419	1875
183	421	1869
184	423	1863
185	424	1859
186	426	1853
187	427	1847
188	429	1843
189	431	1838
190	432	1833
191	434	1827
192	435	1821
193	437	1817
194	438	1810
195	440	1805
196	441	1800
197	442	1793
198	444	1787
199	445	1781
200	446	1776
201	448	1772
202	450	1767
203	451	1761
204	453	1757
205	454	1752
206	456	1747
207	457	1742
208	459	1738
209	461	1734
210	462	1730
211	464	1725
212	465	1718
213	467	1715
214	469	1712
215	471	1709
216	472	1706
217	474	1701
218	476	1697
219	477	1693
220	479	1690
221	481	1686
222	482	1682
223	484	1678
224	486	1674
225	487	1671
226	489	1667
227	491	1664
228	493	1661
229	495	1657
230	496	1654
231	498	1649
232	500	1646
233	501	1643
234	503	1638
235	505	1635
236	506	1631
237	508	1627
238	509	1623
239	511	1620
240	513	1616
241	514	1612
242	516	1609
243	518	1606
244	520	1604
245	522	1601
246	524	1597
247	526	1594
248	527	1591
249	529	1588
250	531	1585
251	533	1582
252	535	1580
253	536	1577
254	538	1573
255	540	1571
256	542	1567
257	543	1563
258	544	1559
259	546	1555
260	548	1552
261	549	1549
